Product Name,Price (₹),Rating,Number of Ratings,Number_of_Ratings
SAMSUNG Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹64,490",4.0,Not Found,3309
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | ...,"₹36,990",1.0,Not Found,2004
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,"₹1,31,990",4.2,Not Found,2305
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 ...,"₹1,54,990",4.0,Not Found,4850
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN /...,"₹60,990",1.0,Not Found,1782
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,"₹35,499",3.8,Not Found,1251
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"₹36,990",4.2,Not Found,3287
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹44,499",4.2,Not Found,3883
SAMSUNG Galaxy Book5 Pro 360 AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windo...,"₹1,63,990",4.2,Not Found,3296
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windows 1...,"₹1,39,990",4.2,Not Found,687
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,"₹31,990",4.2,Not Found,4977
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹33,990",4.2,Not Found,4394
SAMSUNG Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windows 1...,"₹1,49,990",4.2,Not Found,3741
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 7 256V - (16 GB/1 TB SSD/Windows 11 ...,"₹1,38,990",4.3,Not Found,2300
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹50,990",4.2,Not Found,1476
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ549WS Thi...,"₹45,990",4.3,Not Found,2611
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,"₹42,990",4.3,Not Found,2639
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light...,"₹43,990",4.2,Not Found,2467
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,"₹51,490",4.1,Not Found,764
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹46,990",4.3,Not Found,2881
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ322WS Thin...,"₹32,990",4.3,Not Found,2385
Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹44,990",4.2,Not Found,2930
HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromeb...,"₹19,990",4.2,Not Found,2666
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-...,"₹74,990",4.3,Not Found,1918
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ342WS Thi...,"₹39,990",4.3,Not Found,2483
Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,"₹49,990",4.4,Not Found,356
HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and Light...,"₹31,990",4.2,Not Found,1473
DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,"₹36,990",4.0,Not Found,268
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,"₹60,990",1.0,Not Found,3905
"ASUS Zenbook S 14 OLED (2024) - Next-Gen AI PC, with Touchscreen, Intel Core Ultra 7 - (32 GB/1 TB SSD...","₹1,49,990",4.2,Not Found,2191
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Hom...","₹45,990",4.2,Not Found,3969
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (1...","₹65,990",4.8,Not Found,495
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹37,650",4.2,Not Found,2792
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,"₹36,990",4.2,Not Found,1569
"Acer Aspire 3 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) A...","₹44,990",4.1,Not Found,64
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ323WS Thin...,"₹38,990",4.3,Not Found,3742
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹17,990",4.1,Not Found,4217
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 82TTA07RIH ...,"₹42,990",3.9,Not Found,1138
"ASUS Vivobook S 15 OLED Powered, Intel EVO H Series, AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/W...","₹96,990",4.2,Not Found,2678
Lenovo IdeaPad Slim 5 AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 16IMH9 Thin and...,"₹76,990",4.2,Not Found,2833
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,"₹38,990",4.1,Not Found,1171
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,"₹54,990",4.3,Not Found,4835
HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,"₹43,990",3.9,Not Found,1584
HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,"₹23,588",3.9,Not Found,3289
DELL Vostro Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) VN3520HPCNX001ORB1 Thin a...,"₹34,990",4.2,Not Found,1446
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,"₹42,190",4.2,Not Found,3649
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Lapt...,"₹31,890",4.2,Not Found,4473
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...","₹50,990",4.2,Not Found,3819
Acer Swift 14 AI Intel Core Ultra 5 - (16 GB/512 GB SSD/Windows 11 Home) SF14-51 Thin and Light Laptop,"₹89,990",4.2,Not Found,1400
ASUS Zenbook Duo OLED AI PC Intel Core Ultra 7 155H - (32 GB/1 TB SSD/Windows 11 Home) UX8406MA-QL761W...,"₹1,79,990",4.1,Not Found,4624
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Ho...","₹56,990",4.7,Not Found,3207
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"₹40,990",4.4,Not Found,1061
ASUS Zenbook 14 OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) UX3405MA-PZ552WS...,"₹94,990",4.2,Not Found,2268
HP Pavilion AI PC Intel Core Ultra 5 125U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0015TU Thin and Li...,"₹72,990",4.0,Not Found,4478
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home...","₹55,990",4.3,Not Found,3452
Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,"₹84,999",4.7,Not Found,668
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,"₹25,799",4.1,Not Found,2697
Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,"₹47,800",4.2,Not Found,2804
MSI Prestige 13 Evo AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13 AI Ev...,"₹99,990",4.0,Not Found,1604
Lenovo Yoga Slim 7 Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14IMH9 Thin and Light ...,"₹85,190",4.5,Not Found,476
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹62,990",4.3,Not Found,4536
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...","₹50,880",4.2,Not Found,2775
SAMSUNG Galaxy Book4 Pro 360 Evo AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) NP96...,"₹1,79,990",4.7,Not Found,704
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,"₹1,39,990",4.6,Not Found,1695
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹16,990",3.8,Not Found,3183
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,"₹39,990",4.3,Not Found,2227
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹66,990",4.3,Not Found,4388
Lenovo LOQ Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"₹1,15,190",4.9,Not Found,2716
HP Pavilion x360 Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1010TU 2 in 1 La...,"₹81,390",4.3,Not Found,1200
HP Pavilion Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2015TU Thin and Light...,"₹74,990",4.1,Not Found,4364
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (1...","₹65,990",4.8,Not Found,1220
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹81,499",4.7,Not Found,1973
Lenovo Yoga Pro 7 2.8K OLED AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graph...,"₹1,50,522",3.7,Not Found,1074
DELL Inspiron 3530 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,"₹39,490",3.3,Not Found,1510
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7U4HN/A,"₹93,649",4.7,Not Found,1373
"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Ho...","₹49,990",4.3,Not Found,1912
Acer AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop,"₹29,990",4.2,Not Found,2594
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...","₹43,990",4.2,Not Found,3031
HP Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14-gr1022TU Thin and Light Laptop,"₹67,990",4.0,Not Found,4449
"ASUS Vivobook S 15 OLED Powered, Intel EVO H Series, AI PC Intel Core Ultra 9 185H - (16 GB/1 TB SSD/W...","₹1,19,990",5.0,Not Found,2175
ASUS X1504ZA Intel Core i3 12th Gen 12th Gen Intel Core i3-1215U - (8 GB/512 GB SSD/Windows 11 Home) X...,"₹32,680",4.3,Not Found,2959
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹90,690",4.1,Not Found,1326
HP Pavilion Plus Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-ew0116TU Thin an...,"₹72,990",4.4,Not Found,653
HP Pavilion AI PC Intel Core Ultra 7 155U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0028TU Thin and Li...,"₹84,490",4.4,Not Found,1799
Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH...,"₹82,690",4.2,Not Found,2117
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS Th...,"₹29,990",4.2,Not Found,908
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹57,800",4.1,Not Found,395
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Ho...","₹54,990",4.3,Not Found,599
DELL Vostro 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and...,"₹51,490",4.3,Not Found,1897
HP AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0155AU Thin and Light Laptop,"₹48,413",4.2,Not Found,3002
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹56,990",4.1,Not Found,460
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,"₹94,990",4.0,Not Found,604
HP Intel Core Ultra 5 125H - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1098TU Thin and Light Laptop,"₹77,337",4.0,Not Found,1320
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,"₹1,16,990",4.3,Not Found,227
Acer Aspire Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,"₹34,990",4.4,Not Found,260
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹37,990",4.2,Not Found,3499
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹39,990",4.3,Not Found,4530
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹59,990",4.2,Not Found,4646
HP Pavilion Intel Core Ultra 5 125U - (16 GB/1 TB SSD/Windows 11 Home) 16-af0056TU Thin and Light Lapt...,"₹78,990",4.0,Not Found,3172
MSI Prestige 14 Evo AI PC Intel Core Ultra 7 1st Gen 155H - (16 GB/1 TB SSD/Windows 11 Home) Prestige ...,"₹99,990",1.0,Not Found,4253
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ320WS Thin...,"₹38,990",4.2,Not Found,1355
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹95,190",4.0,Not Found,671
SAMSUNG Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP960X...,"₹1,41,990",4.9,Not Found,248
MSI Prestige 16 Evo AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) Prestige 16 AI Ev...,"₹1,19,990",5.0,Not Found,4220
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹43,990",4.0,Not Found,3443
HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromeb...,"₹19,990",4.1,Not Found,250
"Acer Aspire Lite with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home...","₹46,990",4.3,Not Found,2802
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,"₹36,990",4.2,Not Found,939
DELL Vostro 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) VN3530602PF001ORB1 T...,"₹52,490",4.1,Not Found,3230
Acer Predator Helios Neo 14 Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NV...,"₹1,61,999",3.8,Not Found,1029
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thi...,"₹58,990",4.1,Not Found,2777
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U - (8 GB/512 GB SSD/Windows 11 Home/1 GB Graphics) V15 G...,"₹26,990",4.2,Not Found,1007
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop,"₹20,990",4.3,Not Found,1459
Infinix X3 Slim Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light...,"₹35,990",4.0,Not Found,4867
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹69,990",4.0,Not Found,4207
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹21,490",4.2,Not Found,3332
Acer Aspire Lite Multicolor Backlit AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) A...,"₹35,990",4.3,Not Found,874
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,"₹72,990",4.1,Not Found,696
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹32,700",4.3,Not Found,2956
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-73...,"₹84,990",4.3,Not Found,1740
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹64,990",3.8,Not Found,2287
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹46,990",4.2,Not Found,729
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹19,990",4.3,Not Found,841
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹27,990",4.3,Not Found,2755
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"₹44,990",4.2,Not Found,2656
"Acer Aspire Lite with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Ho...","₹44,990",4.0,Not Found,4375
Acer Chromebook Plus Google AI Intel Core i3 N305 - (8 GB/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebo...,"₹18,990",3.8,Not Found,1587
HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig...,"₹67,990",4.3,Not Found,3913
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and...,"₹36,990",4.1,Not Found,4014
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) A325-42 Thin an...,"₹38,990",4.1,Not Found,3253
Infinix Y3 Max Series Intel Core i3 12th Gen 1215U - (16 GB/256 GB SSD/Windows 11 Home) YL613 Thin and...,"₹24,990",4.3,Not Found,1306
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,"₹35,990",4.3,Not Found,4139
Lenovo V15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) v15 G4 Business Laptop,"₹44,690",4.1,Not Found,3067
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,"₹26,790",4.2,Not Found,3113
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹22,990",3.9,Not Found,4310
ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/512 GB SSD/Windows 11 Home) RC71L-NH001W Handhel...,"₹39,990",4.4,Not Found,3918
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU / FD00...,"₹35,950",4.2,Not Found,88
Lenovo V15 Series AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light La...,"₹24,990",4.2,Not Found,3167
MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-445IN / ...,"₹41,990",4.3,Not Found,1493
Lenovo LOQ Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹96,190",3.9,Not Found,3170
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home...","₹60,490",4.2,Not Found,2191
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"₹91,190",4.5,Not Found,2896
Colorful XS Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹47,990",4.3,Not Found,2329
